Korean,English,Topic
알아볼 수 있었나요?,Were you able to find out?,미국 직장인이 매일 쓰는 영어 100문장
제가한번 연락해볼게요,I’ll try to reach him.,미국 직장인이 매일 쓰는 영어 100문장
내일까지 확답을 드릴게요,I’ll give you a definite answer by tomorrow.,미국 직장인이 매일 쓰는 영어 100문장
따로 얘기 좀 할 수 있을까요?),Can I have word with you in private?,미국 직장인이 매일 쓰는 영어 100문장
내일 아침에 일정을 좀 비워 놓을게요,I’ll clear some time on my schedule tomorrow morning.,미국 직장인이 매일 쓰는 영어 100문장
프로젝트의 지금까지의 진행상황을 알려줄 수 있어요?,Could you give me an update on the project?,미국 직장인이 매일 쓰는 영어 100문장
아직 작업하고 있는 중이에요,I’m still working on it.,미국 직장인이 매일 쓰는 영어 100문장
제가 바로 할게요,I’m on it.,미국 직장인이 매일 쓰는 영어 100문장
이렇게 직접 만나서 반가워요,It’s so nice to meet you in person,미국 직장인이 매일 쓰는 영어 100문장
회의가 길어졌어요,The meeting ran over.,미국 직장인이 매일 쓰는 영어 100문장
제가 하루만 더 생각해볼게요,Let me sleep on it.,미국 직장인이 매일 쓰는 영어 100문장
저 좀 보자고 하셨다면서요,I heard you wanted to see me.,미국 직장인이 매일 쓰는 영어 100문장
변동 사항이 생기면 알려드릴게요,I’ll let you know if anything changes.,미국 직장인이 매일 쓰는 영어 100문장
진행 상황을 계속해서 알려줘서 고마워요,Thanks for keeping me in the loop /posted/updated.,미국 직장인이 매일 쓰는 영어 100문장
지금은 결정을 잠시 보류합시다,Let’s hold off on the decision for now.,미국 직장인이 매일 쓰는 영어 100문장
혹시 월요일에 회의할 시간 되세요?,Are you available for meeting on Monday?,미국 직장인이 매일 쓰는 영어 100문장
송금을 아직 받지 못했습니다,Your wire didn’t come through yet.,미국 직장인이 매일 쓰는 영어 100문장
잠깐 통화 좀 해도 될까요?,Would you mind if I make a quick phone call?,미국 직장인이 매일 쓰는 영어 100문장
잠시 후에 여기에 슬라이드를 불러오겠습니다.,I’m just gonna take a second to pull up my slides here.,미국 직장인이 매일 쓰는 영어 100문장
이번주 스케쥴이 어떻게 돼요?,What’s your schedule like this week?,미국 직장인이 매일 쓰는 영어 100문장
여기까지 와주셔서 감사합니다,Thank you for coming all the way here.,미국 직장인이 매일 쓰는 영어 100문장
회계일을 어떻게 시작했어요?,How did you get into accounting ?,원어민이 가장 많이 쓰는 구동사 30개
검정색으로 합시다,Let's go with black,원어민이 가장 많이 쓰는 구동사 30개
치킨은 맥주와 잘 어울린다,Fried chicken goes great with beer,원어민이 가장 많이 쓰는 구동사 30개
나중에 커피한잔하러 올래요?,Do you wanna drop by later for coffee?,원어민이 가장 많이 쓰는 구동사 30개
그냥 잠깐 들렀어,I'm just dropping by,원어민이 가장 많이 쓰는 구동사 30개
좀 자제하고 있어서요. (그래서 사양할게요),I'm trying to cut back,원어민이 가장 많이 쓰는 구동사 30개
우리 소비를 줄여야할 것 같아,I think we need to cut back on our spending,원어민이 가장 많이 쓰는 구동사 30개
알고보니 실수였어,It turned out to be a mistake,원어민이 가장 많이 쓰는 구동사 30개
알고보니 고등학생이였어,He turned out to be in high school,원어민이 가장 많이 쓰는 구동사 30개
회의 잘 끝났어?,Did the meeting turn out well?,원어민이 가장 많이 쓰는 구동사 30개
제가 생각했던 것보다 훨씬 어려웠어요,But is turned out to be more difficut than I thought,원어민이 가장 많이 쓰는 구동사 30개
오늘 외식하자,Let's eat out,원어민이 가장 많이 쓰는 구동사 30개
집에 너무 늦게 들어오지마,Don't stay out too late,원어민이 가장 많이 쓰는 구동사 30개
제가 날짜를 빠뜨렸어요,I'm sorry. I left the dates out,원어민이 가장 많이 쓰는 구동사 30개
빠뜨린 이름이 없는지 꼭 확인해,Make sure you don’t leave any names out,원어민이 가장 많이 쓰는 구동사 30개
이거 마무리 지어야해,I need to finish this up,원어민이 가장 많이 쓰는 구동사 30개
지금 막 24페이지 마무리 짓고 있어요,Just finishing up page 24,원어민이 가장 많이 쓰는 구동사 30개
내일까지 끝낼수 있을지 모르겠어요,I'm not sure if I could finish this up by tormorrow,원어민이 가장 많이 쓰는 구동사 30개
오늘은 여기까지 하고 내일 마무리 짓는게 어때?,Why don't we call it a day and finish up tomorrow?,원어민이 가장 많이 쓰는 구동사 30개
다 썼어,I used it up,원어민이 가장 많이 쓰는 구동사 30개
저번에 병가를 다 썼어,I used up all my sick days last time,원어민이 가장 많이 쓰는 구동사 30개
커피 마시러갈래?,You wann go for coffe?,원어민이 가장 많이 쓰는 구동사 30개
뭐좀 먹으러 갈건데 같이갈래?,I'm gonna go for a bite. Do you wanna come along?,원어민이 가장 많이 쓰는 구동사 30개
저희는 금연실 요청했는데요,"I'm sorry, but we asked for a non-smoking room",원어민이 가장 많이 쓰는 구동사 30개
아주 맵게 해달라고 요청했는데요,I asked for extra spicy,원어민이 가장 많이 쓰는 구동사 30개
드라이브갈래?,You up for drive?,원어민이 가장 많이 쓰는 구동사 30개
마시러갈래?,Up for a drink?,원어민이 가장 많이 쓰는 구동사 30개
난 단걸 별로 안좋아해,I don't really care for sweets,원어민이 가장 많이 쓰는 구동사 30개
커피마실래?,Care for some coffee?,원어민이 가장 많이 쓰는 구동사 30개
와인/커피 마시러가시겠습니까?,Would you care for some wine/coffee?,원어민이 가장 많이 쓰는 구동사 30개
난 엄마를 닮았어(외모 기질 버릇 포함),I take after my mom.,원어민이 가장 많이 쓰는 구동사 30개
커피사왔어,I picked you up some coffee,원어민이 가장 많이 쓰는 구동사 30개
한국에 갔을 때 한국어를 배웠어요,I picked up a little Korean when I was in Korea,원어민이 가장 많이 쓰는 구동사 30개
밤늦게 자는 것은 대학생 시절때 든 버릇이야.,Staying up late is a habit I picked up in college,원어민이 가장 많이 쓰는 구동사 30개
출근길에 정말 좋은 식당을 발견했어요,I came across a really good restaurant on my way to work,원어민이 가장 많이 쓰는 구동사 30개
그 얘 어땠어? (인상),How did she come across?,원어민이 가장 많이 쓰는 구동사 30개
보통 어떻게 출근하세요?,How do you usually get to work?,원어민이 가장 많이 쓰는 구동사 30개
그 파일을 볼 기회가 없었어,I never got to see that file,원어민이 가장 많이 쓰는 구동사 30개
일을 시작합시다.,Let's get to work,원어민이 가장 많이 쓰는 구동사 30개
그녀는 어려운 시간을 겪고있다.,She's going through a lot,원어민이 가장 많이 쓰는 구동사 30개
이렇게 번거롭게해서 미안해요,Sorry to make you go through this,원어민이 가장 많이 쓰는 구동사 30개
수고해주셔서 감사합니다.,Thank you for going thorugh the trouble.,원어민이 가장 많이 쓰는 구동사 30개
모든 파일을 확인해봤어?,Did you go thorugh every single file?,원어민이 가장 많이 쓰는 구동사 30개
사진찍기 언제 시작했어? (배우는것을),When did you take up photography?,원어민이 가장 많이 쓰는 구동사 30개
시간을 빼앗아서 미안해요,Sorry to take up your time,원어민이 가장 많이 쓰는 구동사 30개
내일 아침에 당신의 사무실에 방문하고 싶어요. 계실건가요?,I want drop by your office tomorrow morning . Will you be around?,원어민이 가장 많이 쓰는 구동사 30개
그냥 구경하는거에요,I'm just looking around,원어민이 가장 많이 쓰는 구동사 30개
좀 알아봐주셨으면 해서요,I was hoping you could ask around,원어민이 가장 많이 쓰는 구동사 30개
제가 기꺼이 알아봐드릴게요,I would be happy to ask around for you,원어민이 가장 많이 쓰는 구동사 30개
"미안, 회사에 붙잡혔어","Sorry, I got held up at work",원어민이 가장 많이 쓰는 구동사 30개
"미안, 내가 좀 늦었어. (무엇때문에 할 수 없이)"," Sorry, I got held up",원어민이 가장 많이 쓰는 구동사 30개
너가 무슨말을 하려고하는지 잘 모르겠어,I'm not sure what your're getting at.,원어민이 가장 많이 쓰는 구동사 30개
사용해 봤는데 별로 마음에 안들었어,"I did try it out, but I didn’t' really like it",원어민이 가장 많이 쓰는 구동사 30개
(시간내서) 할게요,I'll get around to it,원어민이 가장 많이 쓰는 구동사 30개
"나 산책하러갈건데, 같이갈래?",I'm gonna go for a walk. Do you want to come along?,원어민이 가장 많이 쓰는 구동사 30개
시간이 좀 걸리긴해도 잘 되고 있어,"It's taking a while, but it's coming along",원어민이 가장 많이 쓰는 구동사 30개
먼저가 내가 뒤따라갈게요,I'll catch up with you,원어민이 가장 많이 쓰는 구동사 30개
"정말 가고싶지만, 밀린 일을 좀 해야해.","I would love to go, but I have to catch up on some work",원어민이 가장 많이 쓰는 구동사 30개
밀린 잠을 잘거예요,I'm gonna catch up on my sleep,원어민이 가장 많이 쓰는 구동사 30개
조만간 밀린얘기나 하자,Let's catch up soon,원어민이 가장 많이 쓰는 구동사 30개
지금 뭐하고있어? (일에 대해서),What are you working on?,원어민이 가장 많이 쓰는 구동사 30개
발음 연습을 해야해,I need to work on my pronuncication,원어민이 가장 많이 쓰는 구동사 30개
이것에 대해서 어떻게 생각해?,How do you feel about this?,일상 영어 회화 패턴 20개
"죄송한데, 제가 지금 회의중이라서요.","Sorry, I'm in the middle of a meeting",일상 영어 회화 패턴 20개
"미안, 지금 뭐 하고있는 중이었어?","I'm sorry, were you in the middle of something?",일상 영어 회화 패턴 20개
우리 잠깐 쉬는게 어때?,Why don't we take a quick break?,일상 영어 회화 패턴 20개
요즘 하고있는 일은 어때?,How are things with your work?,일상 영어 회화 패턴 20개
어떻게 계산하길 원하세요?,How would you like to pay?,일상 영어 회화 패턴 20개
무엇 때문에 그 이름을 선택하게 되었어?,What made you pick that name?,일상 영어 회화 패턴 20개
더 좋은 아이디어가 생각나지 않아,I can't think of a better idea,일상 영어 회화 패턴 20개
아무리 생각해도 기억이 잘 안나,I can't seem to remember,일상 영어 회화 패턴 20개
원하시면 얼마든지 우리랑 함께 하셔도 돼요,You're more than welcome to join us if you'd like,일상 영어 회화 패턴 20개
오늘저녁엔 외식하고싶어,I feel like eating out tonight,일상 영어 회화 패턴 20개
재밌겠지만 별로 안가고싶네,"Sounds fun, but I don't feel like going",일상 영어 회화 패턴 20개
죄송하지만 마지막부분을 못들었어요. 다시한번 말해주실수있나요?,"Sorry, I didn't get the last part. Could you repeat?",일상 영어 회화 패턴 20개
이거 어떻게 구했어?,How did you manage to get this?,일상 영어 회화 패턴 20개
여기서 만날거라고 생각도 못했어,I never thought I would see you here,일상 영어 회화 패턴 20개
물어보려고했는데. 그날 어떤일이 있엇어?,I've been meaning to ask you. What happended the other day?,일상 영어 회화 패턴 20개
전화 잘 주셨어요. 제가 전화려고했었거든요,Good thing you called. I was just about to call you,일상 영어 회화 패턴 20개
10시 예약이있어 왔어요,I'm here for my 10 o'clock appointment,일상 영어 회화 패턴 20개
니가 이거 필요할까해서,I thought you might need this,일상 영어 회화 패턴 20개
평소에는 술을 잘 안마셔요,I normally don’t drink,일상 영어 회화 패턴 20개
끝내자마자 도와줄게,"As soon as I'm done, I'll help you.",일상 영어 회화 패턴 20개
회의는 어떻게 됐어요?,How did the meeting go?,회사에서 지겹도록 듣게되는 영어 문장 40개
잘 진행되었어요,It went pretty well,회사에서 지겹도록 듣게되는 영어 문장 40개
인터뷰는 그렇게 잘 되진 않았어요,The interview didn't go so well,회사에서 지겹도록 듣게되는 영어 문장 40개
프로젝트는 어떻게 되어가고 있어요?,How's the project going?,회사에서 지겹도록 듣게되는 영어 문장 40개
다음회의 날짜는 정했나요?,Did we wet a date for our next meeting?,회사에서 지겹도록 듣게되는 영어 문장 40개
걱정하지 마세요. 제가 최대한 빨리 처리할게요,Don't worry. I'll take care of it as soon as I can,회사에서 지겹도록 듣게되는 영어 문장 40개
그건 이미 처리되었어요.,It's already been taken care of.,회사에서 지겹도록 듣게되는 영어 문장 40개
제 어시스턴트 보고 바로 처리하라고 하겠습니다.,I'll have my assistant take care of that right away.,회사에서 지겹도록 듣게되는 영어 문장 40개
한 부 복사해드릴까요?,Do you want me to make you a copy?,회사에서 지겹도록 듣게되는 영어 문장 40개
그 이메일 저에게 보내줄 수 있어요?,Can you forward me that email?,회사에서 지겹도록 듣게되는 영어 문장 40개
프린터기가 고낭잔 것 같아요.,Something's wrong with the printer / The printer is not working,회사에서 지겹도록 듣게되는 영어 문장 40개
Wifi가 안되네요,The wifi is not working,회사에서 지겹도록 듣게되는 영어 문장 40개
컴퓨터는 다 썼어요?,Are you done with the computer?,회사에서 지겹도록 듣게되는 영어 문장 40개
Jim이 늦는 것 같아요,I think Jim's running a little late,회사에서 지겹도록 듣게되는 영어 문장 40개
제가 오늘 오후에 시간을 내볼게요.,I'll try to make some time this afternoon.,회사에서 지겹도록 듣게되는 영어 문장 40개
수치를 이미 두번이나 확인했어요.,I already double-checked the figures.,회사에서 지겹도록 듣게되는 영어 문장 40개
그분과 다시 한번 확인해 볼게요.,Let me double-check with her.,회사에서 지겹도록 듣게되는 영어 문장 40개
자세한 내용은 잘 모릅니다.,I don't know the details yet.,회사에서 지겹도록 듣게되는 영어 문장 40개
추가 정보를 입수하게 되면 알려드릴게요.,I'll let you know once I get more info on it.,회사에서 지겹도록 듣게되는 영어 문장 40개
얼마나 걸리는지 대강이라도 알려줄 수 있을까요?,Can you give me a rough idea how long it'll take?,회사에서 지겹도록 듣게되는 영어 문장 40개
아마 일주일 정도 걸릴 것 같아요.,It'll take roughly a week.,회사에서 지겹도록 듣게되는 영어 문장 40개
빠듯한 기한을 맞춰야 해서요.,We're on a tight deadline.,회사에서 지겹도록 듣게되는 영어 문장 40개
마감기한이 좀 빠듯하네요.,The deadline is a little tight.,회사에서 지겹도록 듣게되는 영어 문장 40개
절반 밖에 못 끝냈는데 마감일을 맞출 수 있을까요?,We're only halfway through. Do you think we could make the deadline?,회사에서 지겹도록 듣게되는 영어 문장 40개
마감기한을 연장해 달라고 요청해야할 것 같아요.,I think we might have to ask for an extension.,회사에서 지겹도록 듣게되는 영어 문장 40개
제가 그분에게 연락해 볼게요.,I'll try to get in touch with him.,회사에서 지겹도록 듣게되는 영어 문장 40개
저희가 다시 연락드리겠습니다.,We'll be in touch.,회사에서 지겹도록 듣게되는 영어 문장 40개
제가 아침에 전화드렸었어요.,I tried to reach you this morning.,회사에서 지겹도록 듣게되는 영어 문장 40개
지금 가는 중인데 10분 후에 도착할 것 같아요.,"I'm on my way, so I'll be there in 10 minutes.",회사에서 지겹도록 듣게되는 영어 문장 40개
죄송합니다. 제시간에 도착하지 못할 것 같아요.,I'm sorry. I don't think I'll be able to make it on time.,회사에서 지겹도록 듣게되는 영어 문장 40개
1시 회의에 오실 수 있으세요?,Can you make the 1 o'clock meeting?,회사에서 지겹도록 듣게되는 영어 문장 40개
상황이 어떻게 되는지 지켜봅시다.,Let's see how it goes.,회사에서 지겹도록 듣게되는 영어 문장 40개
협상이 어떻게 진행되는지 지켜본 다음 결정합시다.,Let's see how the negotitation goes and then make adecision afterwards.,회사에서 지겹도록 듣게되는 영어 문장 40개
다음 주까지 보고서를 준비할게요.,I'll put together a report by next week.,회사에서 지겹도록 듣게되는 영어 문장 40개
어떤 것을 말씀하시는지 잘 모르겠네요.,I'm not sure what you're referring to.,회사에서 지겹도록 듣게되는 영어 문장 40개
죄송합니다만 그 제품을 더 이상 취급하지 않습니다.,I'm sorry. We no longer carry that item.,회사에서 지겹도록 듣게되는 영어 문장 40개
제 보고서 잠깐만 봐줄 수 있어요?,Can you take a quick look at my report?,회사에서 지겹도록 듣게되는 영어 문장 40개
Kevin 회의를 시작해 주시겠어요?,"Kevin, can you kick us off? Kevin, can you start us off?",회사에서 지겹도록 듣게되는 영어 문장 40개
이제 마무리를 해야할 시간이 된 것 같아요.,I think it's time for us to wrap up.,회사에서 지겹도록 듣게되는 영어 문장 40개
이 부분은 내일 다시 얘기합시다.,Let's come back to this tomorrow.,회사에서 지겹도록 듣게되는 영어 문장 40개
이 부분은 나중에 얘기해도 될까요?,Can we come back to this later?,회사에서 지겹도록 듣게되는 영어 문장 40개
연락 주셔서 감사합니다.,Thank you for reaching out to me. ,비즈니스 이메일 핵심패턴 15개
신속히 회신주셔서 감사합니다.,Thank you for your quick/prompt/swift response. ,비즈니스 이메일 핵심패턴 15개
신속히 회신주셔서 감사합니다. (더 캐주얼한표현),Thank you for getting back to me so quickly.,비즈니스 이메일 핵심패턴 15개
잘 지내고 계시길 바랍니다. (조금 뜸하게 연락하는경우),I hope you’re doing well. ,비즈니스 이메일 핵심패턴 15개
좋은 하루/한주 보내시기 바랍니다. (자주 연락하는 경우),I hope you’re having a great day/week. ,비즈니스 이메일 핵심패턴 15개
하루/한주가 좋은 시작이 되었기를 바랍니다.,I hope your day/week got off to a good/great start. ,비즈니스 이메일 핵심패턴 15개
지난주에 만나주셔서 감사하다는 말씀을 전하고 싶었어요.,I just wanted to thank you for meeting with me last week. ,비즈니스 이메일 핵심패턴 15개
나는 단지 당신이 내 제안을 살펴볼 기회가 있었는지 알고 싶었을 뿐입니다.,I just wanted to see if you had a chance to take a look at my proposal. ,비즈니스 이메일 핵심패턴 15개
제가 오늘 회의에 참석하지 않을 것이라는 점을 간단히 알려드립니다.,Just a quick note to let you know that I won’t be joining the meeting today. ,비즈니스 이메일 핵심패턴 15개
궁금한 점이 있으면 알려주시기 바랍니다.,Please let me know if you have any questions. ,비즈니스 이메일 핵심패턴 15개
그것이 괜찮은지 알려주세요.,Please let me know if that works for you. ,비즈니스 이메일 핵심패턴 15개
편하실 때 가능한 빨리 알려주세요.,Please let me know at your earliest convenience. ,비즈니스 이메일 핵심패턴 15개
빠른 시일 내에 회신해 주시면 감사하겠습니다.,I would be grateful if you could reply at your earliest convenience. ,비즈니스 이메일 핵심패턴 15개
제 보고서를 좀 봐주실 수 있을까 해서요,I was wondering if you could look over my report. ,비즈니스 이메일 핵심패턴 15개
우리가 회의를 잡아도 될까요?,Could we arrange a meeting?,비즈니스 이메일 핵심패턴 15개
회의가 수요일로 연기되었음을 참고해주세요.,Please note that the meeting has been pushed back to Wednesday. ,비즈니스 이메일 핵심패턴 15개
자세한 내용은 첨부파일을 참조하시기 바랍니다.,Please refer to the attachment for more details. ,비즈니스 이메일 핵심패턴 15개
궁금한 점이 있으면 언제든지 저에게 문의해 주세요.,"Should you have any questions, feel free to reach out to me. ",비즈니스 이메일 핵심패턴 15개
요청하신대로 최신 카탈로그를 보내드리겠습니다.,"As requested, I’m sending you our latest catalogue. ",비즈니스 이메일 핵심패턴 15개
여기 당신이 원했던 정보입니다.,Here is the information you wanted.,비즈니스 이메일 핵심패턴 15개
첨부파일을 확인해주세요.,Please see/find the attached file. ,비즈니스 이메일 핵심패턴 15개
통화하는분 성함이 어떻게되시죠?,Who am I speaking to?,직장인을 위한 전화 영어 표현 10개
통화하는분 성함이 어떻게되시죠?,May I ask who's calling?,직장인을 위한 전화 영어 표현 10개
잠시 후에 연결해 드리겠습니다.,I'll put you through in a moment,직장인을 위한 전화 영어 표현 10개
Mr.Jones께서 통화 가능하신지 알아보겠습니다.,I'll see if Mr. Jones is available,직장인을 위한 전화 영어 표현 10개
잠시만 기다려 주시겠어요?,Can I put you on hold? ,직장인을 위한 전화 영어 표현 10개
잠시만 기다려 주세요. 통화 가능한지 알아볼게요.,Just a moment. I’ll see if he’s available. ,직장인을 위한 전화 영어 표현 10개
잠시만 기다려 주세요.,Just one second.,직장인을 위한 전화 영어 표현 10개
지금 외근 중이십니다.,He’s out at the moment.,직장인을 위한 전화 영어 표현 10개
아니요. 지금은 없습니다,No. Not at the moment.,직장인을 위한 전화 영어 표현 10개
아파서 결근하셨어요.,He’s out/off sick today,직장인을 위한 전화 영어 표현 10개
방금 잠깐 나가셨는데 곧 돌아오실 겁니다.,"He just stepped out, but he should be back soon. ",직장인을 위한 전화 영어 표현 10개
지금 자리에 안계십니다. 나중에 다시 전화 주시겠어요?,He’s away from his desk at the moment. Would you like to try back later? ,직장인을 위한 전화 영어 표현 10개
지금 얘기하기 괜찮으세요?,Is this a good time to talk? ,직장인을 위한 전화 영어 표현 10개
혹시 곤란할 때 전화했나요? 찾아왔나요?,Am I catching you at a bad time?,직장인을 위한 전화 영어 표현 10개
회의에 참여해 주신 모든 분들께 감사드립니다.,Thank you everyone for joining the call.,화상회의 시 꼭 필요한 영어표현 12개
회의에 더 참석하실분이 계신가요?,Is anyone else joining the call?,화상회의 시 꼭 필요한 영어표현 12개
모두 접속해있나요?,Is everyone on the line?,화상회의 시 꼭 필요한 영어표현 12개
"John, 접속해있나요?","John, are you on? ",화상회의 시 꼭 필요한 영어표현 12개
아쉽게도 Mr.김은 오늘 참석하지 않으실 거예요.,"Unfortunately, Mr.Kim won’t be joining us today.",화상회의 시 꼭 필요한 영어표현 12개
